Table 1.,"Public high school 4-year adjusted cohort graduation rate (ACGR), by race/ethnicity and selected demographic characteristics for the United States, the 50 states, and the District of Columbia: School year 2015–16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,Percent of students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Asian/Pacific Islander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,American Indian / Alaska Native,,Total,Asian1,Hawaiian Native/Pacific Islander1,,Hispanic,Black,White,Two or more races1,Economically disadvantaged,Limited English proficiency,Students with disabilities,,,,,,,,,,,,,,,,,,,,,
    United States2,,84.1,71.9,,90.8,—,—,,79.3,76.4,88.3,—,77.6,66.9,65.5,,,,,,,,,,,,,,,,,,,,,
Alabama,,87.1,90,,91,—,—,,87,84.5,88.6,89,80.9,64,54.1,,,,,,,,,,,,,,,,,,,,,
Alaska,,76.1,64,,81,—,—,,76,74,80.8,75,68.4,55,54,,,,,,,,,,,,,,,,,,,,,
Arizona,,79.5,67.7,,89,—,—,,76.4,75.5,84.0,—,76.7,32,69.0,,,,,,,,,,,,,,,,,,,,,
Arkansas,,87.0,87,,87,91,75,,85.7,81.5,89.2,87,83.8,86,84.3,,,,,,,,,,,,,,,,,,,,,
California,,83.0,74.0,,92.9,93.0,91.7,,80.0,73.0,88.0,82.0,79.0,72.0,66.0,,,,,,,,,,,,,,,,,,,,,
Colorado,,78.9,62,,85,86,74,,69.9,71.8,84.4,79,67.8,61.4,57.2,,,,,,,,,,,,,,,,,,,,,
Connecticut,,87.4,89,,94,95,84,,76.4,78.8,92.5,88,76.7,67,65.2,,,,,,,,,,,,,,,,,,,,,
Delaware,,85.5,>=90%,,91,91,>=50%,,81,82.1,88.4,84,76,73,67,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,69.2,<>,,77,<>,<>,,69,67.7,91,>=90%,69.3,64,50,,,,,,,,,,,,,,,,,,,,,
Florida,,80.7,77,,91.6,91.9,85,,79.5,72.3,85.1,82.7,74.4,62.0,61.6,,,,,,,,,,,,,,,,,,,,,
Georgia,,79.4,69,,87.8,—,—,,73.4,76.2,83.1,81.0,75.3,56.5,56.6,,,,,,,,,,,,,,,,,,,,,
Hawaii,,82.7,72,,83.6,—,—,,75,78,82,—,77.9,69,59,,,,,,,,,,,,,,,,,,,,,
Idaho,,79.7,58,,80,83,70,,73.7,78,81.4,77,71.9,73,60,,,,,,,,,,,,,,,,,,,,,
Illinois,,85.5,79,,93.5,93.7,85,,81.3,74.5,90.4,84.7,76.7,71.9,70.5,,,,,,,,,,,,,,,,,,,,,
Indiana,,86.8,83,,89,89,81,,82.7,73.8,89.5,85,85.0,71,72.0,,,,,,,,,,,,,,,,,,,,,
Iowa,,91.3,81,,91,92,88,,85,80,92.9,84,83.9,81,70,,,,,,,,,,,,,,,,,,,,,
Kansas,,85.7,73,,92,93,83,,79.2,77,88.4,82,77.5,77.4,77.5,,,,,,,,,,,,,,,,,,,,,
Kentucky,,88.6,83,,93,93,>=90%,,82,80.9,90.0,87,85.6,68,71.9,,,,,,,,,,,,,,,,,,,,,
