,"   Number of Firms, Number of Establishments, Employment, and Annual Payroll",,,,,,,,,,
,"by Employment Size of the Enterprise for the United States and States, Totals - 2000",,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2000 County Business Patterns. For information on confidentiality protection, sampling error, nonsampling error, and definitions see http://www.census.gov/econ/susb/methodology.html ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,    Employment Size of the Enterprise,,,,,
,,,,,,,,,,,
AREA,DATA TYPE,TOTAL,0,1-4,5-9,10-19,<20,20-99,100-499,<500,500+
United States,Firms,"5,652,544","726,862","2,669,870","1,021,210","617,087","5,035,029","515,977","84,385","5,635,391","17,153"
,Establishments,"7,070,048","730,027","2,675,974","1,035,370","652,461","5,093,832","674,106","312,112","6,080,050","989,998"
,Employment,"114,064,976",0,"5,592,980","6,708,674","8,285,731","20,587,385","20,276,634","16,260,025","57,124,044","56,940,932"
,"Annual Payroll ($1,000)","3,879,430,052","38,594,167","147,581,389","174,383,913","230,564,411","591,123,880","608,446,434","527,544,627","1,727,114,941","2,152,315,111"
Alabama,Firms,"79,852","8,036","35,904","15,257","9,039","68,236","7,591","1,770","77,597","2,255"
,Establishments,"99,817","8,061","35,966","15,416","9,496","68,939","9,883","4,898","83,720","16,097"
,Employment,"1,653,074",0,"77,656","99,984","119,885","297,525","285,155","222,505","805,185","847,889"
,"Annual Payroll ($1,000)","43,957,816","270,427","1,564,719","2,140,768","2,762,211","6,738,125","7,049,010","5,799,791","19,586,926","24,370,890"
Alaska,Firms,"15,928","3,038","6,680","2,776","1,546","14,040","1,128",279,"15,447",481
,Establishments,"18,501","3,042","6,699","2,835","1,674","14,250","1,598",855,"16,703","1,798"
,Employment,"204,887",0,"14,207","18,260","20,491","52,958","40,111","34,343","127,412","77,475"
,"Annual Payroll ($1,000)","7,649,748","115,683","424,775","539,915","636,066","1,716,439","1,303,174","1,157,500","4,177,113","3,472,635"
Arizona,Firms,"93,004","13,263","39,982","15,814","10,203","79,262","8,764","2,294","90,320","2,684"
,Establishments,"114,804","13,314","40,051","16,006","10,689","80,060","10,780","5,411","96,251","18,553"
,Employment,"1,919,353",0,"83,875","103,852","135,599","323,326","325,525","268,432","917,283","1,002,070"
,"Annual Payroll ($1,000)","58,235,779","621,965","2,245,897","2,624,662","3,414,779","8,907,303","8,661,294","7,552,099","25,120,696","33,115,083"
Arkansas,Firms,"52,405","6,212","24,165","9,503","5,492","45,372","4,430","1,035","50,837","1,568"
,Establishments,"63,185","6,225","24,205","9,599","5,770","45,799","5,790","3,022","54,611","8,574"
,Employment,"990,830",0,"50,458","61,995","72,701","185,154","162,277","131,162","478,593","512,237"
,"Annual Payroll ($1,000)","24,663,335","195,850","980,311","1,221,052","1,530,573","3,927,786","3,568,004","2,960,678","10,456,468","14,206,867"
California,Firms,"664,585","90,787","301,196","116,247","72,854","581,084","65,114","12,700","658,898","5,687"
,Establishments,"799,863","91,074","301,920","117,809","76,513","587,316","80,345","33,987","701,648","98,215"
,Employment,"12,884,692",0,"628,927","764,742","975,195","2,368,864","2,511,101","1,955,055","6,835,020","6,049,672"
,"Annual Payroll ($1,000)","514,360,478","7,415,071","20,479,231","22,178,155","30,063,951","80,136,408","85,838,266","77,439,173","243,413,847","270,946,631"
Colorado,Firms,"116,223","17,938","53,479","18,789","11,310","101,516","9,549","2,262","113,327","2,896"
,Establishments,"137,528","17,971","53,577","18,978","11,806","102,332","11,646","5,200","119,178","18,350"
,Employment,"1,913,302",0,"109,441","123,042","150,520","383,003","351,465","251,263","985,731","927,571"
,"Annual Payroll ($1,000)","68,179,190","758,742","3,052,203","3,392,489","4,350,352","11,553,786","10,747,557","8,542,599","30,843,942","37,335,248"
Connecticut,Firms,"78,454","8,520","36,211","13,973","8,536","67,240","7,338","1,785","76,363","2,091"
,Establishments,"92,436","8,583","36,263","14,152","8,894","67,892","8,781","3,994","80,667","11,769"
,Employment,"1,546,250",0,"76,440","91,619","114,069","282,128","271,444","222,037","775,609","770,641"
,"Annual Payroll ($1,000)","67,384,810","485,146","2,518,504","3,057,863","4,142,718","10,204,231","10,347,284","9,727,063","30,278,578","37,106,232"
Delaware,Firms,"20,167","2,578","9,004","3,071","1,958","16,611","1,756",534,"18,901","1,266"
,Establishments,"23,771","2,581","9,020","3,097","2,041","16,739","2,136","1,005","19,880","3,891"
,Employment,"377,277",0,"17,425","20,126","26,014","63,565","61,266","44,651","169,482","207,795"
,"Annual Payroll ($1,000)","14,320,011","208,352","421,114","536,171","724,104","1,889,741","1,917,461","1,348,636","5,155,838","9,164,173"
District of Columbia,Firms,"16,328","1,541","6,466","2,607","1,785","12,399","2,040",804,"15,243","1,085"
,Establishments,"19,655","1,542","6,474","2,623","1,826","12,465","2,351","1,315","16,131","3,524"
,Employment,"414,983",0,"13,683","16,927","22,828","53,438","71,548","76,422","201,408","213,575"
,"Annual Payroll ($1,000)","19,984,505","241,317","663,093","734,230","1,023,841","2,662,481","3,145,868","3,372,807","9,181,156","10,803,349"
Florida,Firms,"353,963","51,954","178,177","57,368","31,757","319,256","24,952","5,539","349,747","4,216"
,Establishments,"428,438","52,175","178,463","57,972","33,273","321,883","30,567","14,567","367,017","61,421"
,Employment,"6,217,386",0,"362,717","374,211","420,760","1,157,688","939,149","736,176","2,833,013","3,384,373"
,"Annual Payroll ($1,000)","177,378,971","2,150,555","9,253,044","9,604,238","11,237,624","32,245,461","26,477,458","21,243,068","79,965,987","97,412,984"
Georgia,Firms,"160,440","21,576","72,971","27,249","16,483","138,279","14,395","3,833","156,507","3,933"
,Establishments,"200,442","21,652","73,095","27,527","17,188","139,462","17,649","8,757","165,868","34,574"
,Employment,"3,483,500",0,"151,813","178,410","218,749","548,972","530,709","435,255","1,514,936","1,968,564"
,"Annual Payroll ($1,000)","112,899,269","1,226,362","4,055,105","4,616,503","6,057,112","15,955,082","15,372,648","13,495,207","44,822,937","68,076,332"
Hawaii,Firms,"24,325","2,563","11,004","4,400","2,786","20,753","2,244",529,"23,526",799
,Establishments,"29,853","2,571","11,040","4,506","3,015","21,132","3,120","1,719","25,971","3,882"
,Employment,"432,092",0,"23,543","28,869","37,323","89,735","85,381","71,066","246,182","185,910"
,"Annual Payroll ($1,000)","12,331,233","97,694","630,750","711,981","968,704","2,409,129","2,206,639","1,900,522","6,516,290","5,814,943"
Idaho,Firms,"32,181","4,815","14,040","5,758","3,394","28,007","2,626",564,"31,197",984
,Establishments,"37,429","4,820","14,069","5,810","3,573","28,272","3,471","1,589","33,332","4,097"
,Employment,"450,788",0,"29,817","37,768","44,810","112,395","94,018","56,514","262,927","187,861"
,"Annual Payroll ($1,000)","12,395,973","135,039","593,931","764,888","971,223","2,465,081","2,180,122","1,406,977","6,052,180","6,343,793"
Illinois,Firms,"254,071","31,270","115,524","43,773","27,497","218,064","25,308","6,234","249,606","4,465"
,Establishments,"308,067","31,318","115,742","44,334","28,873","220,267","30,705","14,049","265,021","43,046"
,Employment,"5,501,036",0,"238,786","287,516","367,617","893,919","957,495","812,262","2,663,676","2,837,360"
,"Annual Payroll ($1,000)","201,319,268","1,657,042","7,131,703","8,308,463","11,444,232","28,541,440","31,521,116","27,880,817","87,943,373","113,375,895"
Indiana,Firms,"116,256","12,364","50,034","21,998","13,725","98,121","12,277","2,926","113,324","2,932"
,Establishments,"146,321","12,408","50,116","22,250","14,475","99,249","15,866","7,980","123,095","23,226"
,Employment,"2,650,774",0,"108,158","144,539","183,723","436,420","464,865","391,891","1,293,176","1,357,598"
,"Annual Payroll ($1,000)","78,992,813","485,429","2,375,412","3,225,565","4,400,986","10,487,392","12,383,578","11,124,232","33,995,202","44,997,611"
Iowa,Firms,"65,558","7,025","30,053","11,782","7,312","56,172","6,221","1,495","63,888","1,670"
,Establishments,"80,890","7,033","30,111","11,954","7,842","56,940","8,657","4,736","70,333","10,557"
,Employment,"1,265,064",0,"62,699","77,065","96,872","236,636","234,669","196,637","667,942","597,122"
,"Annual Payroll ($1,000)","33,752,570","193,443","1,155,735","1,524,220","2,145,615","5,019,013","5,687,940","5,007,330","15,714,283","18,038,287"
Kansas,Firms,"61,551","7,005","28,072","10,745","6,566","52,388","5,809","1,426","59,623","1,928"
,Establishments,"74,939","7,039","28,144","10,892","6,969","53,044","7,833","3,638","64,515","10,424"
,Employment,"1,128,732",0,"58,457","70,273","86,684","215,414","215,125","173,770","604,309","524,423"
,"Annual Payroll ($1,000)","31,990,762","228,547","1,183,839","1,518,023","2,085,105","5,015,514","5,483,086","4,565,363","15,063,963","16,926,799"
Kentucky,Firms,"72,300","7,426","31,924","13,456","8,236","61,042","7,242","1,803","70,087","2,213"
,Establishments,"89,921","7,436","31,960","13,615","8,615","61,626","9,299","4,608","75,533","14,388"
,Employment,"1,513,722",0,"68,598","88,310","109,628","266,536","265,426","225,448","757,410","756,312"
,"Annual Payroll ($1,000)","41,233,591","262,900","1,358,568","1,840,159","2,444,607","5,906,234","6,461,576","5,696,531","18,064,341","23,169,250"
Louisiana,Firms,"81,669","8,433","36,137","15,496","9,429","69,495","8,295","1,779","79,569","2,100"
,Establishments,"101,016","8,478","36,205","15,658","9,919","70,260","10,564","4,594","85,418","15,598"
,Employment,"1,592,357",0,"77,461","101,891","125,078","304,430","316,245","232,741","853,416","738,941"
,"Annual Payroll ($1,000)","42,975,159","352,878","1,721,993","2,185,926","2,847,061","7,107,858","7,387,814","6,003,215","20,498,887","22,476,272"
Maine,Firms,"34,148","5,035","15,772","5,875","3,417","30,099","2,584",601,"33,284",864
,Establishments,"39,466","5,049","15,795","5,934","3,578","30,356","3,369","1,744","35,469","3,997"
,Employment,"491,780",0,"32,857","38,281","45,351","116,489","98,136","80,213","294,838","196,942"
,"Annual Payroll ($1,000)","13,490,186","144,325","714,714","849,801","1,033,888","2,742,728","2,440,307","2,173,032","7,356,067","6,134,119"
Maryland,Firms,"105,971","13,430","46,642","18,791","11,579","90,442","10,423","2,496","103,361","2,610"
,Establishments,"128,467","13,474","46,743","18,999","12,094","91,310","12,699","5,479","109,488","18,979"
,Employment,"2,058,304",0,"98,287","123,546","154,321","376,154","388,037","311,165","1,075,356","982,948"
,"Annual Payroll ($1,000)","70,877,270","694,535","2,789,059","3,403,863","4,503,587","11,391,044","12,100,958","10,725,808","34,217,810","36,659,460"
Massachusetts,Firms,"148,235","17,863","68,352","26,100","15,504","127,819","14,045","3,405","145,269","2,966"
,Establishments,"176,222","17,983","68,470","26,375","16,201","129,029","16,798","8,405","154,232","21,990"
,Employment,"3,087,044",0,"144,459","170,445","206,612","521,516","539,616","472,875","1,534,007","1,553,037"
,"Annual Payroll ($1,000)","131,444,257","1,230,970","4,545,739","5,336,811","7,008,141","18,121,661","20,431,135","19,976,988","58,529,784","72,914,473"
Michigan,Firms,"193,861","24,581","83,634","36,362","22,607","167,184","19,488","4,066","190,738","3,123"
,Establishments,"236,912","24,659","83,748","36,766","23,683","168,856","24,870","11,135","204,861","32,051"
,Employment,"4,072,786",0,"179,857","239,413","301,394","720,664","744,276","603,018","2,067,958","2,004,828"
,"Annual Payroll ($1,000)","145,482,490","1,024,880","4,872,478","6,297,494","8,509,507","20,704,359","22,870,385","19,499,049","63,073,793","82,408,697"
Minnesota,Firms,"116,199","16,230","50,542","19,985","12,686","99,443","11,633","2,631","113,707","2,492"
,Establishments,"139,080","16,254","50,643","20,211","13,297","100,405","14,653","6,790","121,848","17,232"
,Employment,"2,395,361",0,"103,609","131,554","170,403","405,566","444,369","370,819","1,220,754","1,174,607"
,"Annual Payroll ($1,000)","82,483,852","1,713,226","2,703,695","3,361,087","4,556,407","12,334,415","12,955,976","11,923,660","37,214,051","45,269,801"
Mississippi,Firms,"48,334","5,147","22,251","8,924","5,149","41,471","4,276","1,006","46,753","1,581"
,Establishments,"59,788","5,163","22,296","9,016","5,408","41,883","5,633","2,956","50,472","9,316"
,Employment,"956,781",0,"47,746","58,139","68,485","174,370","156,495","126,466","457,331","499,450"
,"Annual Payroll ($1,000)","22,843,586","172,404","861,629","1,107,544","1,469,753","3,611,330","3,454,543","2,874,930","9,940,803","12,902,783"
