Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Employment Size of the Enterprise for the United States and States, Totals - 2002",,,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2002 County Business Patterns and 2002 Economic Census. For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,
,,,,,,    Employment Size of the Enterprise,,,,,
AREA,DATA TYPE,TOTAL,0,1-4,5-9,10-19,<20,20-99,100-499,<500,500+
United States,Firms,"5,697,759","770,041","2,695,606","1,010,804","613,880","5,090,331","508,249","82,334","5,680,914","16,845"
,Establishments,"7,200,770","771,135","2,699,380","1,024,081","652,930","5,147,526","692,775","332,508","6,172,809","1,027,961"
,Employment,"112,400,654",0,"5,697,652","6,639,666","8,246,053","20,583,371","19,874,069","15,908,852","56,366,292","56,034,362"
,"Annual Payroll ($1,000)","3,943,179,606","38,127,022","155,662,211","182,383,776","241,410,588","617,583,597","623,716,021","535,749,956","1,777,049,574","2,166,130,032"
,"Receipts ($1,000)","22,062,528,196","215,139,058","937,533,365","888,342,543","1,085,595,864","3,126,610,830","2,884,696,648","2,547,423,855","8,558,731,333","13,503,796,863"
Alabama,Firms,"78,710","8,109","35,737","14,715","8,625","67,186","7,582","1,786","76,554","2,156"
,Establishments,"99,931","8,139","35,778","14,881","9,132","67,930","10,154","5,275","83,359","16,572"
,Employment,"1,581,117",0,"78,528","96,321","114,207","289,056","277,445","219,522","786,023","795,094"
,"Annual Payroll ($1,000)","45,465,588","330,862","1,661,134","2,221,978","2,854,060","7,068,034","7,410,122","6,101,442","20,579,598","24,885,990"
,"Receipts ($1,000)","260,230,642","2,082,164","11,011,106","11,072,277","13,515,126","37,680,673","37,404,651","31,536,531","106,621,855","153,608,787"
Alaska,Firms,"15,986","3,099","6,660","2,730","1,569","14,058","1,162",265,"15,485",501
,Establishments,"18,856","3,101","6,673","2,784","1,723","14,281","1,706",924,"16,911","1,945"
,Employment,"213,600",0,"14,373","17,859","20,851","53,083","41,988","32,686","127,757","85,843"
,"Annual Payroll ($1,000)","8,438,954","128,022","450,994","585,123","696,959","1,861,098","1,498,015","1,186,038","4,545,151","3,893,803"
,"Receipts ($1,000)","46,600,120","761,814","2,253,811","2,353,456","2,880,355","8,249,436","6,277,304","5,204,417","19,731,157","26,868,963"
Arizona,Firms,"95,908","14,088","41,599","15,915","10,226","81,828","8,984","2,366","93,178","2,730"
,Establishments,"119,740","14,095","41,624","16,101","10,782","82,602","11,348","5,990","99,940","19,800"
,Employment,"1,945,472",0,"87,794","104,688","136,111","328,593","326,763","274,869","930,225","1,015,247"
,"Annual Payroll ($1,000)","61,108,350","627,778","2,438,466","2,777,208","3,630,885","9,474,337","9,038,088","8,367,405","26,879,830","34,228,520"
,"Receipts ($1,000)","318,581,313","3,405,167","13,339,236","12,425,137","15,303,826","44,473,366","37,382,866","36,326,933","118,183,165","200,398,148"
Arkansas,Firms,"52,094","6,209","24,020","9,345","5,495","45,069","4,495","1,037","50,601","1,493"
,Establishments,"63,869","6,222","24,037","9,429","5,786","45,474","6,255","3,090","54,819","9,050"
,Employment,"974,969",0,"51,096","61,243","72,853","185,192","162,449","128,031","475,672","499,297"
,"Annual Payroll ($1,000)","25,912,712","237,165","1,077,807","1,282,768","1,673,221","4,270,961","3,757,160","3,146,089","11,174,210","14,738,502"
,"Receipts ($1,000)","160,162,156","1,458,991","6,678,030","6,614,064","11,271,462","26,022,547","20,249,623","16,057,122","62,329,292","97,832,864"
California,Firms,"674,635","94,428","307,386","116,164","73,110","591,088","65,283","12,761","669,132","5,503"
,Establishments,"820,997","94,528","307,784","117,594","77,109","597,015","83,277","36,757","717,049","103,948"
,Employment,"12,856,426",0,"649,650","763,191","977,313","2,390,154","2,488,119","1,932,534","6,810,807","6,045,619"
,"Annual Payroll ($1,000)","510,841,212","6,722,546","21,936,536","23,084,742","31,115,108","82,858,932","85,830,008","74,734,512","243,423,452","267,417,760"
,"Receipts ($1,000)","2,695,657,297","32,940,261","124,448,482","115,387,923","142,017,491","414,794,157","380,339,379","350,024,023","1,145,157,559","1,550,499,738"
Colorado,Firms,"119,568","18,906","55,670","18,899","11,293","104,768","9,605","2,388","116,761","2,807"
,Establishments,"142,247","18,911","55,719","19,114","11,865","105,609","12,050","5,686","123,345","18,902"
,Employment,"1,912,152",0,"113,800","123,462","149,196","386,458","343,980","250,771","981,209","930,943"
,"Annual Payroll ($1,000)","67,811,823","751,031","3,238,083","3,515,012","4,493,433","11,997,559","10,819,938","8,858,626","31,676,123","36,135,700"
,"Receipts ($1,000)","373,572,996","4,624,291","17,899,108","15,368,955","18,407,895","56,300,249","44,998,188","38,431,272","139,729,709","233,843,287"
Connecticut,Firms,"77,256","8,606","34,966","13,896","8,499","65,967","7,460","1,774","75,201","2,055"
,Establishments,"92,375","8,611","35,003","14,044","8,859","66,517","9,120","4,047","79,684","12,691"
,Employment,"1,555,595",0,"74,748","91,090","112,641","278,479","271,056","209,172","758,707","796,888"
,"Annual Payroll ($1,000)","68,477,685","440,570","2,511,981","3,108,562","4,200,175","10,261,288","10,572,962","8,702,240","29,536,490","38,941,195"
,"Receipts ($1,000)","376,925,197","2,466,470","15,986,812","14,508,126","16,944,198","49,905,606","51,000,805","45,030,397","145,936,808","230,988,389"
Delaware,Firms,"20,208","2,543","8,707","3,007","2,033","16,290","1,834",655,"18,779","1,429"
,Establishments,"24,377","2,543","8,726","3,053","2,154","16,476","2,251","1,158","19,885","4,492"
,Employment,"389,304",0,"17,201","19,645","26,861","63,707","61,980","45,045","170,732","218,572"
,"Annual Payroll ($1,000)","14,716,473","116,029","427,618","557,745","789,262","1,890,654","1,999,731","1,522,687","5,413,072","9,303,401"
,"Receipts ($1,000)","111,921,731","695,076","5,670,127","2,739,116","3,402,658","12,506,977","8,398,377","6,552,435","27,457,789","84,463,942"
District of Columbia,Firms,"16,377","1,398","6,495","2,611","1,809","12,313","2,096",879,"15,288","1,089"
,Establishments,"19,930","1,401","6,497","2,623","1,847","12,368","2,401","1,442","16,211","3,719"
,Employment,"418,755",0,"13,863","16,932","23,181","53,976","69,818","77,117","200,911","217,844"
,"Annual Payroll ($1,000)","21,358,471","124,854","668,546","779,979","1,091,807","2,665,186","3,262,817","3,930,764","9,858,767","11,499,704"
,"Receipts ($1,000)","117,938,791","575,926","2,761,918","2,785,680","3,669,022","9,792,546","11,509,723","12,549,419","33,851,688","84,087,103"
Florida,Firms,"370,789","59,664","186,324","57,713","32,118","335,819","25,109","5,729","366,657","4,132"
,Establishments,"450,188","59,759","186,506","58,302","33,781","338,348","31,763","15,721","385,832","64,356"
,Employment,"6,366,964",0,"379,495","376,509","425,831","1,181,835","930,871","743,341","2,856,047","3,510,917"
,"Annual Payroll ($1,000)","192,931,952","2,640,269","10,193,573","10,216,050","11,937,717","34,987,609","27,471,796","23,182,787","85,642,192","107,289,760"
,"Receipts ($1,000)","1,031,310,527","17,191,237","63,989,152","50,038,632","52,908,518","184,127,539","128,161,949","112,782,414","425,071,902","606,238,625"
Georgia,Firms,"164,252","22,863","75,378","27,170","16,518","141,929","14,638","3,875","160,442","3,810"
,Establishments,"206,323","22,878","75,467","27,459","17,395","143,199","18,437","9,096","170,732","35,591"
,Employment,"3,381,244",0,"157,979","177,942","218,891","554,812","525,904","412,462","1,493,178","1,888,066"
,"Annual Payroll ($1,000)","113,752,313","1,187,106","4,241,965","4,862,439","6,304,673","16,596,183","15,791,447","13,404,849","45,792,479","67,959,834"
,"Receipts ($1,000)","727,291,807","7,994,341","27,894,249","24,428,764","29,157,972","89,475,326","76,114,537","74,578,331","240,168,194","487,123,613"
Hawaii,Firms,"24,912","2,727","11,297","4,477","2,697","21,198","2,321",601,"24,120",792
,Establishments,"30,633","2,728","11,332","4,552","2,934","21,546","3,304","1,841","26,691","3,942"
,Employment,"439,934",0,"24,279","29,364","35,843","89,486","86,092","77,281","252,859","187,075"
,"Annual Payroll ($1,000)","13,352,194","135,542","650,143","766,423","981,112","2,533,220","2,366,018","2,218,079","7,117,317","6,234,877"
,"Receipts ($1,000)","66,276,495","732,407","3,342,233","3,295,662","4,133,973","11,504,275","9,757,860","9,161,939","30,424,074","35,852,421"
Idaho,Firms,"33,214","5,290","14,784","5,642","3,294","29,010","2,608",614,"32,232",982
,Establishments,"38,842","5,300","14,794","5,698","3,468","29,260","3,609","1,762","34,631","4,211"
,Employment,"453,552",0,"31,346","36,989","43,435","111,770","89,720","57,449","258,939","194,613"
,"Annual Payroll ($1,000)","12,562,415","158,070","684,642","812,199","1,037,424","2,692,335","2,233,340","1,498,927","6,424,602","6,137,813"
,"Receipts ($1,000)","70,239,393","946,040","4,323,567","3,934,744","4,518,366","13,722,717","12,318,015","8,755,523","34,796,255","35,443,138"
Illinois,Firms,"253,720","34,176","114,432","42,333","27,551","218,492","24,874","6,053","249,419","4,301"
,Establishments,"309,980","34,195","114,551","42,794","29,067","220,607","30,882","14,602","266,091","43,889"
,Employment,"5,224,293",0,"239,597","278,125","367,325","885,047","925,029","766,601","2,576,677","2,647,616"
,"Annual Payroll ($1,000)","197,827,878","1,697,216","7,202,905","8,453,850","11,940,645","29,294,616","31,787,015","27,635,820","88,717,451","109,110,427"
,"Receipts ($1,000)","1,140,513,945","9,532,958","42,086,727","41,186,739","53,445,701","146,252,125","144,009,113","129,145,112","419,406,350","721,107,595"
Indiana,Firms,"116,030","12,867","50,425","21,402","13,595","98,289","12,028","2,917","113,234","2,796"
,Establishments,"147,304","12,883","50,475","21,598","14,426","99,382","15,885","8,692","123,959","23,345"
,Employment,"2,517,180",0,"109,891","140,502","180,879","431,272","445,465","377,105","1,253,842","1,263,338"
,"Annual Payroll ($1,000)","79,365,202","568,070","2,529,325","3,364,030","4,599,868","11,061,293","12,649,463","11,308,212","35,018,968","44,346,234"
,"Receipts ($1,000)","475,228,621","3,646,073","15,041,143","16,035,645","19,802,257","54,525,118","63,638,138","56,764,552","174,927,808","300,300,813"
Iowa,Firms,"65,136","7,766","29,848","11,474","6,961","56,049","6,008","1,477","63,534","1,602"
,Establishments,"81,042","7,768","29,873","11,619","7,491","56,751","8,630","4,936","70,317","10,725"
,Employment,"1,229,609",0,"63,331","75,004","92,702","231,037","223,204","188,044","642,285","587,324"
,"Annual Payroll ($1,000)","34,819,886","230,884","1,281,138","1,624,516","2,217,037","5,353,575","5,766,660","5,264,673","16,384,908","18,434,978"
,"Receipts ($1,000)","227,324,209","1,382,955","7,803,796","8,637,042","11,402,478","29,226,271","30,612,447","28,612,943","88,451,661","138,872,548"
Kansas,Firms,"60,949","7,027","28,047","10,349","6,501","51,924","5,687","1,471","59,082","1,867"
,Establishments,"75,077","7,048","28,084","10,473","6,951","52,556","7,877","4,119","64,552","10,525"
,Employment,"1,098,894",0,"59,234","67,538","85,806","212,578","206,226","169,294","588,098","510,796"
,"Annual Payroll ($1,000)","33,152,962","222,257","1,291,760","1,560,922","2,219,317","5,294,256","5,614,460","4,765,165","15,673,881","17,479,081"
,"Receipts ($1,000)","223,589,986","1,403,070","8,382,848","8,044,617","10,747,176","28,577,711","29,251,993","23,485,874","81,315,578","142,274,408"
Kentucky,Firms,"71,874","7,462","32,011","13,206","8,074","60,753","7,215","1,785","69,753","2,121"
,Establishments,"90,493","7,483","32,042","13,327","8,455","61,307","9,638","4,872","75,817","14,676"
,Employment,"1,462,517",0,"69,350","86,629","107,167","263,146","260,610","210,271","734,027","728,490"
