Rank,State,Average ACT Score Adjusted,Raw Average ACT Score,Participation Rate
1,Minnesota,23.04,22.9,76%
2,Connecticut,22.93,24.2,29%
3,Massachusetts,22.72,24.3,23%
4,New Hampshire,22.63,24.2,20%
5,Ohio,22.47,22,72%
6,Montana,22.42,20.5,100%
7,Vermont,22.32,23.2,29%
8,Colorado,22.31,20.6,100%
9,New York,22.27,23.4,27%
10,Nebraska,22.2,21.7,86%
11,Wisconsin,22.04,22.2,73%
12,Kansas,22.02,22,75%
13,Utah,21.97,20.8,100%
14,South Dakota,21.93,21.9,78%
15,Illinois,21.87,20.7,100%
16,Missouri,21.8,21.8,76%
17,North Carolina,21.79,18.9,100%
18,Virginia,21.79,22.8,28%
19,New Jersey,21.78,23.1,25%
20,Indiana,21.73,21.9,40%
21,Idaho,21.71,22.4,45%
22,Florida,21.66,19.6,81%
23,Washington,21.6,23,22%
24,North Dakota,21.57,20.6,100%
25,Iowa,21.49,22,68%
26,California,21.41,22.3,29%
27,South Carolina,21.37,20.4,58%
28,Georgia,21.34,20.8,53%
29,Arkansas,21.21,20.4,93%
30,Michigan,21.21,20.1,100%
31,Tennessee,21.16,19.8,100%
32,Wyoming,21.14,20.1,100%
33,Maryland,21.07,22.6,22%
34,Kentucky,21.07,19.9,100%
35,Pennsylvania,21.04,22.7,19%
36,Alabama,21.01,20.6,80%
37,Rhode Island,20.99,22.9,16%
38,Oregon,20.88,21.4,36%
39,Texas,20.78,20.9,40%
40,Nevada,20.76,21.2,36%
41,Hawaii,20.73,18.2,90%
42,Oklahoma,20.72,20.7,75%
43,Delaware,20.69,23.2,18%
44,West Virginia,20.69,20.6,65%
45,Alaska,20.63,21,37%
46,Maine,20.56,23.6,9%
48,Louisiana,20.37,19.2,100%
49,Arizona,20.12,19.7,55%
50,Mississippi,20.04,19,100%
51,New Mexico,20.04,19.9,69%
