"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Enterprise Employment Size for the United States and States, Totals:  2007",,,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2007 County Business Patterns and 2007 Economic Census.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,
,ENTERPRISE,,,,,ANNUAL,ANNUAL,,,,
,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,RECEIPTS,RECEIPTS,,
AREA, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,"($1,000)",NOISE FLAG,,
United States,1:   Total,"6,049,655","7,705,018","120,604,265",G,"5,026,778,232",G,"29,746,741,904",G,,
,2:   0-4,"3,705,275","3,710,700","6,139,463",G,"234,921,325",G,"1,434,680,823",G,,
,3:   5-9,"1,060,250","1,073,875","6,974,591",G,"222,419,546",G,"1,144,930,232",G,,
,4:   10-19,"644,842","682,410","8,656,182",G,"292,088,277",G,"1,395,498,431",G,,
,5:   <20,"5,410,367","5,466,985","21,770,236",G,"749,429,148",G,"3,975,109,486",G,,
,6:   20-99,"532,391","723,385","20,922,960",G,"768,546,555",G,"3,792,920,977",G,,
,7:   100-499,"88,586","355,853","17,173,728",G,"686,862,018",G,"3,612,050,221",G,,
,8:   <500,"6,031,344","6,546,223","59,866,924",G,"2,204,837,721",G,"11,380,080,684",G,,
,9:   500+,"18,311","1,158,795","60,737,341",G,"2,821,940,511",G,"18,366,661,220",G,,
Alabama,1:   Total,"81,565","105,627","1,722,834",G,"58,263,271",G,"392,681,729",G,,
,2:   0-4,"44,431","44,488","80,341",G,"2,417,475",G,"16,217,213",G,,
,3:   5-9,"15,297","15,480","100,581",G,"2,735,285",G,"14,936,704",G,,
,4:   10-19,"9,449","10,028","125,752",G,"3,668,059",G,"18,935,412",G,,
,5:   <20,"69,177","69,996","306,674",G,"8,820,819",G,"50,089,329",G,,
,6:   20-99,"8,102","10,998","300,811",G,"9,535,422",G,"52,119,562",G,,
