"          Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2008",,,,,,,,,,
,,,,,,,,,,
"SOURCE: 2008 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
,,ENTERPRISE,,,,,ANNUAL,ANNUAL,,
FIPS,,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,,
CODE,AREA DESCRIPTION, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,,
99,United States,1:   Total,"5,930,132","7,601,169","120,903,551",G,"5,130,509,178",G,,
99,United States,2:   0-4,"3,617,764","3,624,614","6,086,291",G,"232,062,907",G,,
99,United States,3:   5-9,"1,044,065","1,056,947","6,878,051",G,"222,504,912",G,,
99,United States,4:   10-19,"633,141","667,463","8,497,391",G,"293,534,352",G,,
99,United States,5:   <20,"5,294,970","5,349,024","21,461,733",G,"748,102,171",G,,
99,United States,6:   20-99,"526,307","705,430","20,684,691",G,"774,589,335",G,,
99,United States,7:   100-499,"90,386","359,902","17,547,567",G,"706,476,693",G,,
99,United States,8:   <500,"5,911,663","6,414,356","59,693,991",G,"2,229,168,199",G,,
99,United States,9:   500+,"18,469","1,186,813","61,209,560",G,"2,901,340,979",G,,
01,Alabama,1:   Total,"79,812","103,875","1,714,692",G,"59,827,325",G,,
01,Alabama,2:   0-4,"43,194","43,259","80,104",G,"2,419,258",G,,
01,Alabama,3:   5-9,"15,160","15,349","100,066",G,"2,791,861",G,,
01,Alabama,4:   10-19,"9,107","9,588","121,129",G,"3,623,405",G,,
01,Alabama,5:   <20,"67,461","68,196","301,299",G,"8,834,524",G,,
01,Alabama,6:   20-99,"7,987","10,723","297,858",G,"9,652,355",G,,
01,Alabama,7:   100-499,"2,017","5,503","247,136",G,"8,472,136",G,,
01,Alabama,8:   <500,"77,465","84,422","846,293",G,"26,959,015",G,,
01,Alabama,9:   500+,"2,347","19,453","868,399",G,"32,868,310",G,,
02,Alaska,1:   Total,"16,529","19,934","248,387",G,"12,113,049",G,,
02,Alaska,2:   0-4,"10,029","10,049","15,238",H,"717,380",G,,
02,Alaska,3:   5-9,"2,802","2,846","18,511",G,"702,159",G,,
02,Alaska,4:   10-19,"1,662","1,823","22,077",G,"912,131",G,,
02,Alaska,5:   <20,"14,493","14,718","55,826",G,"2,331,670",G,,
02,Alaska,6:   20-99,"1,172","1,711","41,209",G,"1,814,435",G,,
02,Alaska,7:   100-499,316,"1,017","35,987",G,"1,593,795",G,,
02,Alaska,8:   <500,"15,981","17,446","133,022",G,"5,739,900",G,,
02,Alaska,9:   500+,548,"2,488","115,365",G,"6,373,149",G,,
04,Arizona,1:   Total,"109,823","140,081","2,334,061",G,"89,799,018",G,,
04,Arizona,2:   0-4,"64,447","64,568","104,115",G,"4,207,062",G,,
04,Arizona,3:   5-9,"17,851","18,042","117,705",G,"3,586,390",G,,
04,Arizona,4:   10-19,"11,399","11,826","151,618",G,"4,742,176",G,,
04,Arizona,5:   <20,"93,697","94,436","373,438",G,"12,535,628",G,,
04,Arizona,6:   20-99,"10,293","12,711","382,771",G,"12,623,249",G,,
04,Arizona,7:   100-499,"2,813","6,886","338,058",G,"11,977,795",G,,
04,Arizona,8:   <500,"106,803","114,033","1,094,267",G,"37,136,672",G,,
04,Arizona,9:   500+,"3,020","26,048","1,239,794",G,"52,662,346",G,,
05,Arkansas,1:   Total,"52,699","66,668","1,026,005",G,"33,809,713",G,,
05,Arkansas,2:   0-4,"30,010","30,034","51,807",G,"1,536,677",G,,
05,Arkansas,3:   5-9,"9,624","9,701","63,218",G,"1,616,835",G,,
05,Arkansas,4:   10-19,"5,580","5,860","73,640",G,"2,018,889",G,,
05,Arkansas,5:   <20,"45,214","45,595","188,665",G,"5,172,401",G,,
05,Arkansas,6:   20-99,"4,632","6,433","169,552",G,"4,766,425",G,,
05,Arkansas,7:   100-499,"1,189","3,601","143,855",G,"4,371,402",G,,
05,Arkansas,8:   <500,"51,035","55,629","502,072",G,"14,310,228",G,,
05,Arkansas,9:   500+,"1,664","11,039","523,933",G,"19,499,485",G,,
06,California,1:   Total,"717,133","879,025","13,742,925",G,"659,926,263",G,,
06,California,2:   0-4,"434,466","435,269","723,010",G,"35,083,422",G,,
06,California,3:   5-9,"123,345","124,809","812,028",G,"29,027,641",G,,
06,California,4:   10-19,"74,972","78,457","1,002,297",G,"37,885,075",G,,
06,California,5:   <20,"632,783","638,535","2,537,335",G,"101,996,138",G,,
06,California,6:   20-99,"65,362","82,053","2,509,871",G,"102,935,981",G,,
06,California,7:   100-499,"13,168","38,041","1,986,743",G,"89,973,740",G,,
06,California,8:   <500,"711,313","758,629","7,033,949",G,"294,905,859",G,,
06,California,9:   500+,"5,820","120,396","6,708,976",G,"365,020,404",G,,
08,Colorado,1:   Total,"130,297","156,684","2,121,718",G,"91,175,156",G,,
08,Colorado,2:   0-4,"83,112","83,207","127,672",H,"4,996,636",G,,
08,Colorado,3:   5-9,"19,698","19,883","129,831",G,"4,369,670",G,,
08,Colorado,4:   10-19,"11,848","12,302","157,198",G,"5,593,079",G,,
08,Colorado,5:   <20,"114,658","115,392","414,701",G,"14,959,385",G,,
08,Colorado,6:   20-99,"10,017","12,454","362,551",G,"13,618,589",G,,
08,Colorado,7:   100-499,"2,589","6,030","277,417",G,"11,809,857",G,,
08,Colorado,8:   <500,"127,264","133,876","1,054,669",G,"40,387,831",G,,
08,Colorado,9:   500+,"3,033","22,808","1,067,049",G,"50,787,325",G,,
09,Connecticut,1:   Total,"75,842","92,597","1,551,305",G,"82,768,724",G,,
09,Connecticut,2:   0-4,"42,525","42,577","74,798",G,"3,363,222",G,,
09,Connecticut,3:   5-9,"13,532","13,669","88,577",G,"3,556,029",G,,
09,Connecticut,4:   10-19,"8,559","8,886","113,206",G,"5,091,685",G,,
09,Connecticut,5:   <20,"64,616","65,132","276,581",G,"12,010,936",G,,
09,Connecticut,6:   20-99,"7,189","8,728","264,029",G,"12,906,296",G,,
09,Connecticut,7:   100-499,"1,974","4,532","239,203",G,"12,608,826",G,,
09,Connecticut,8:   <500,"73,779","78,392","779,813",G,"37,526,058",G,,
09,Connecticut,9:   500+,"2,063","14,205","771,492",G,"45,242,666",G,,
10,Delaware,1:   Total,"20,364","25,174","389,510",G,"17,566,447",G,,
10,Delaware,2:   0-4,"11,172","11,193","18,098",G,"694,196",G,,
10,Delaware,3:   5-9,"3,131","3,167","20,535",G,"686,873",G,,
10,Delaware,4:   10-19,"2,013","2,115","26,770",G,"934,687",G,,
10,Delaware,5:   <20,"16,316","16,475","65,403",G,"2,315,756",G,,
10,Delaware,6:   20-99,"1,891","2,400","66,233",G,"2,532,502",G,,
10,Delaware,7:   100-499,715,"1,291","50,869",G,"2,103,117",G,,
10,Delaware,8:   <500,"18,922","20,166","182,505",G,"6,951,375",G,,
10,Delaware,9:   500+,"1,442","5,008","207,005",G,"10,615,072",G,,
11,District of Columbia,1:   Total,"16,865","21,081","466,050",G,"30,292,302",G,,
11,District of Columbia,2:   0-4,"7,932","7,945","14,202",G,"982,327",G,,
11,District of Columbia,3:   5-9,"2,740","2,757","17,911",G,"1,037,874",G,,
11,District of Columbia,4:   10-19,"1,805","1,852","23,583",G,"1,400,995",G,,
11,District of Columbia,5:   <20,"12,477","12,554","55,696",G,"3,421,196",G,,
11,District of Columbia,6:   20-99,"2,187","2,469","75,171",G,"4,334,427",G,,
11,District of Columbia,7:   100-499,963,"1,445","87,437",G,"4,988,467",G,,
11,District of Columbia,8:   <500,"15,627","16,468","218,304",G,"12,744,090",G,,
11,District of Columbia,9:   500+,"1,238","4,613","247,746",G,"17,548,212",G,,
12,Florida,1:   Total,"414,799","507,027","7,366,571",G,"267,429,672",G,,
12,Florida,2:   0-4,"281,649","282,098","446,406",H,"15,969,201",G,,
12,Florida,3:   5-9,"61,177","61,711","400,160",G,"12,883,768",G,,
12,Florida,4:   10-19,"33,904","35,296","448,754",G,"14,916,584",G,,
12,Florida,5:   <20,"376,730","379,105","1,295,320",G,"43,769,553",G,,
12,Florida,6:   20-99,"27,114","33,603","1,010,251",G,"34,993,322",G,,
12,Florida,7:   100-499,"6,495","17,356","854,824",G,"31,408,251",G,,
12,Florida,8:   <500,"410,339","430,064","3,160,395",G,"110,171,126",G,,
12,Florida,9:   500+,"4,460","76,963","4,206,176",G,"157,258,546",G,,
13,Georgia,1:   Total,"179,576","227,593","3,633,431",G,"142,779,694",G,,
13,Georgia,2:   0-4,"108,496","108,679","178,649",H,"6,456,452",G,,
13,Georgia,3:   5-9,"29,082","29,354","191,039",G,"5,964,620",G,,
13,Georgia,4:   10-19,"17,858","18,567","237,778",G,"7,733,624",G,,
13,Georgia,5:   <20,"155,436","156,600","607,466",G,"20,154,696",G,,
13,Georgia,6:   20-99,"15,920","19,620","580,402",G,"19,777,345",G,,
13,Georgia,7:   100-499,"4,218","10,032","466,351",G,"17,530,967",G,,
13,Georgia,8:   <500,"175,574","186,252","1,654,219",G,"57,463,008",G,,
13,Georgia,9:   500+,"4,002","41,341","1,979,212",G,"85,316,686",G,,
15,Hawaii,1:   Total,"26,360","32,904","518,168",G,"18,539,010",G,,
15,Hawaii,2:   0-4,"14,509","14,556","25,781",G,"951,874",G,,
15,Hawaii,3:   5-9,"4,876","4,951","32,022",G,"1,024,143",G,,
15,Hawaii,4:   10-19,"2,894","3,077","38,661",G,"1,244,128",G,,
15,Hawaii,5:   <20,"22,279","22,584","96,464",G,"3,220,145",G,,
15,Hawaii,6:   20-99,"2,524","3,446","94,807",G,"3,173,911",G,,
15,Hawaii,7:   100-499,675,"2,011","91,141",G,"3,249,557",G,,
15,Hawaii,8:   <500,"25,478","28,041","282,412",G,"9,643,613",G,,
15,Hawaii,9:   500+,882,"4,863","235,756",G,"8,895,397",G,,
16,Idaho,1:   Total,"39,368","46,246","537,952",G,"17,574,245",G,,
16,Idaho,2:   0-4,"23,770","23,804","38,284",H,"1,162,350",G,,
16,Idaho,3:   5-9,"6,621","6,672","43,705",G,"1,132,180",G,,
16,Idaho,4:   10-19,"3,980","4,159","52,272",G,"1,427,369",G,,
16,Idaho,5:   <20,"34,371","34,635","134,261",G,"3,721,899",G,,
16,Idaho,6:   20-99,"3,093","4,170","109,034",G,"3,212,068",G,,
16,Idaho,7:   100-499,739,"2,041","69,789",G,"2,141,697",G,,
16,Idaho,8:   <500,"38,203","40,846","313,084",G,"9,075,664",G,,
16,Idaho,9:   500+,"1,165","5,400","224,868",G,"8,498,581",G,,
17,Illinois,1:   Total,"260,225","321,942","5,464,130",G,"250,538,255",G,,
17,Illinois,2:   0-4,"155,837","156,079","252,294",G,"10,517,069",G,,
17,Illinois,3:   5-9,"42,602","43,070","279,777",G,"9,853,543",G,,
17,Illinois,4:   10-19,"26,574","27,696","353,162",G,"13,593,511",G,,
17,Illinois,5:   <20,"225,013","226,845","885,233",G,"33,964,123",G,,
17,Illinois,6:   20-99,"24,523","30,410","919,062",G,"37,736,032",G,,
17,Illinois,7:   100-499,"6,233","15,323","798,415",G,"35,037,605",G,,
17,Illinois,8:   <500,"255,769","272,578","2,602,710",G,"106,737,760",G,,
17,Illinois,9:   500+,"4,456","49,364","2,861,420",G,"143,800,495",G,,
18,Indiana,1:   Total,"115,466","150,101","2,619,140",G,"94,838,015",G,,
18,Indiana,2:   0-4,"63,401","63,498","111,167",G,"3,415,794",G,,
