Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2009",,,,,,,, release date:11/2011,,
,,,,,,,,,,
"SOURCE: 2009 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,
,,,,,,,,,,
,,,,,,,,,,
00,United States,1:   Total,"5,767,306","7,433,465","114,509,626",G,"4,855,545,239",G,,
00,United States,2:   0-4,"3,558,708","3,565,433","5,966,190",G,"219,913,105",G,,
00,United States,3:   5-9,"1,001,313","1,015,178","6,580,830",G,"212,718,822",G,,
00,United States,4:   10-19,"610,777","646,145","8,191,289",G,"278,321,099",G,,
00,United States,5:   <20,"5,170,798","5,226,756","20,738,309",G,"710,953,026",G,,
00,United States,6:   20-99,"495,673","672,753","19,389,940",G,"719,054,001",G,,
00,United States,7:   100-499,"83,326","353,510","16,153,254",G,"654,811,946",G,,
00,United States,8:   <500,"5,749,797","6,253,019","56,281,503",G,"2,084,818,973",G,,
00,United States,9:   500+,"17,509","1,180,446","58,228,123",G,"2,770,726,266",G,,
01,Alabama,1:   Total,"77,035","100,805","1,612,258",G,"56,972,095",G,,
01,Alabama,2:   0-4,"42,158","42,226","78,847",G,"2,320,634",G,,
01,Alabama,3:   5-9,"14,544","14,736","95,665",G,"2,681,241",G,,
01,Alabama,4:   10-19,"8,694","9,191","115,523",G,"3,498,747",G,,
01,Alabama,5:   <20,"65,396","66,153","290,035",G,"8,500,622",G,,
01,Alabama,6:   20-99,"7,381","9,983","272,924",G,"9,027,366",G,,
01,Alabama,7:   100-499,"1,909","5,409","224,647",G,"7,887,754",G,,
01,Alabama,8:   <500,"74,686","81,545","787,606",G,"25,415,742",G,,
01,Alabama,9:   500+,"2,349","19,260","824,652",G,"31,556,353",G,,
02,Alaska,1:   Total,"16,418","19,901","252,882",G,"12,405,674",G,,
02,Alaska,2:   0-4,"9,950","9,974","14,895",G,"712,533",G,,
02,Alaska,3:   5-9,"2,805","2,867","18,531",G,"727,362",G,,
02,Alaska,4:   10-19,"1,642","1,776","21,770",G,"967,418",G,,
02,Alaska,5:   <20,"14,397","14,617","55,196",G,"2,407,313",G,,
02,Alaska,6:   20-99,"1,144","1,652","40,714",G,"1,819,195",G,,
02,Alaska,7:   100-499,297,"1,016","34,943",G,"1,523,798",G,,
02,Alaska,8:   <500,"15,838","17,285","130,853",G,"5,750,306",G,,
02,Alaska,9:   500+,580,"2,616","122,029",G,"6,655,368",G,,
04,Arizona,1:   Total,"104,191","134,072","2,122,265",G,"82,941,093",G,,
04,Arizona,2:   0-4,"62,193","62,296","99,565",G,"3,787,716",G,,
04,Arizona,3:   5-9,"16,924","17,158","111,267",G,"3,358,329",G,,
04,Arizona,4:   10-19,"10,372","10,839","137,757",G,"4,254,872",G,,
