Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2011",,,,,,,, release date:12/2013,
,,,,,,,,,
"SOURCE: 2011 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,
,,,,,,,,,
,,,,,,,,,
99,United States,1:   Total,"5,684,424","7,354,043","113,425,965",G,"5,164,897,905",G,
99,United States,2:   0-4,"3,532,058","3,540,155","5,857,662",G,"230,422,086",G,
99,United States,3:   5-9,"978,993","993,101","6,431,931",G,"218,085,669",G,
99,United States,4:   10-19,"592,963","626,981","7,961,281",G,"284,251,614",G,
99,United States,5:   <20,"5,104,014","5,160,237","20,250,874",G,"732,759,369",G,
99,United States,6:   20-99,"481,496","651,624","18,880,001",G,"746,085,051",G,
99,United States,7:   100-499,"81,243","350,197","15,867,437",G,"690,509,553",G,
99,United States,8:   <500,"5,666,753","6,162,058","54,998,312",G,"2,169,353,973",G,
99,United States,9:   500+,"17,671","1,191,985","58,427,653",G,"2,995,543,932",G,
01,Alabama,1:   Total,"74,131","97,743","1,573,138",G,"59,241,365",G,
01,Alabama,2:   0-4,"40,644","40,748","74,986",G,"2,342,593",G,
01,Alabama,3:   5-9,"13,752","13,929","90,173",G,"2,666,406",G,
01,Alabama,4:   10-19,"8,417","8,854","112,156",G,"3,587,891",G,
01,Alabama,5:   <20,"62,813","63,531","277,315",G,"8,596,890",G,
01,Alabama,6:   20-99,"7,055","9,704","260,273",G,"9,160,066",G,
01,Alabama,7:   100-499,"1,891","5,188","219,887",G,"8,193,682",G,
01,Alabama,8:   <500,"71,759","78,423","757,475",G,"25,950,638",G,
01,Alabama,9:   500+,"2,372","19,320","815,663",G,"33,290,727",G,
02,Alaska,1:   Total,"16,458","20,119","254,996",G,"13,394,017",G,
02,Alaska,2:   0-4,"9,896","9,930","14,881",G,"780,407",G,
02,Alaska,3:   5-9,"2,829","2,883","18,553",G,"761,641",G,
02,Alaska,4:   10-19,"1,719","1,859","22,843",G,"1,066,970",G,
02,Alaska,5:   <20,"14,444","14,672","56,277",G,"2,609,018",G,
02,Alaska,6:   20-99,"1,104","1,561","38,807",G,"1,797,223",G,
02,Alaska,7:   100-499,319,"1,103","39,401",G,"1,862,655",G,
02,Alaska,8:   <500,"15,867","17,336","134,485",G,"6,268,896",G,
02,Alaska,9:   500+,591,"2,783","120,511",G,"7,125,121",G,
04,Arizona,1:   Total,"100,672","130,305","2,108,561",G,"86,533,273",G,
04,Arizona,2:   0-4,"60,853","60,970","95,790",G,"3,843,641",G,
04,Arizona,3:   5-9,"16,147","16,352","106,378",G,"3,413,870",G,
04,Arizona,4:   10-19,"9,685","10,105","128,761",G,"4,276,083",G,
04,Arizona,5:   <20,"86,685","87,427","330,929",G,"11,533,594",G,
