Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2015",,,,,,,,,,,,, release date: 9/29/2017
,,,,,,,,,,,,,
"SOURCE: 2015 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
00,United States,01:  Total,"5,900,731","7,663,938","124,085,947",G,"6,253,488,252",G,,,,,
00,United States,02:  0-4,"3,643,737","3,649,989","5,877,075",G,"263,152,063",G,,,,,
00,United States,03:  5-9,"1,004,555","1,016,287","6,614,340",G,"243,719,141",G,,,,,
00,United States,04:  10-19,"617,390","648,694","8,297,864",G,"321,846,938",G,,,,,
00,United States,05:  <20,"5,265,682","5,314,970","20,789,279",G,"828,718,142",G,,,,,
00,United States,06:  20-99,"526,106","697,870","20,645,466",G,"876,330,967",G,,,,,
00,United States,07:  100-499,"89,479","367,335","17,503,402",G,"846,259,493",G,,,,,
00,United States,08:  <500,"5,881,267","6,380,175","58,938,147",G,"2,551,308,602",G,,,,,
00,United States,09:  500+,"19,464","1,283,763","65,147,800",G,"3,702,179,650",G,,,,,
01,Alabama,01:  Total,"73,409","98,540","1,634,391",G,"67,370,353",G,,,,,
01,Alabama,02:  0-4,"39,724","39,799","71,722",G,"2,590,485",G,,,,,
01,Alabama,03:  5-9,"13,646","13,804","89,771",G,"2,941,589",G,,,,,
01,Alabama,04:  10-19,"8,205","8,578","109,487",G,"3,818,925",G,,,,,
01,Alabama,05:  <20,"61,575","62,181","270,980",G,"9,350,999",G,,,,,
01,Alabama,06:  20-99,"7,358","10,103","272,084",G,"10,394,604",G,,,,,
01,Alabama,07:  100-499,"1,981","5,266","232,765",G,"9,405,233",G,,,,,
01,Alabama,08:  <500,"70,914","77,550","775,829",G,"29,150,836",G,,,,,
01,Alabama,09:  500+,"2,495","20,990","858,562",G,"38,219,517",G,,,,,
02,Alaska,01:  Total,"16,952","20,907","267,999",G,"15,643,303",G,,,,,
02,Alaska,02:  0-4,"10,065","10,101","14,827",G,"850,971",G,,,,,
02,Alaska,03:  5-9,"2,919","2,966","19,291",G,"842,641",G,,,,,
02,Alaska,04:  10-19,"1,756","1,871","23,133",G,"1,156,630",G,,,,,
02,Alaska,05:  <20,"14,740","14,938","57,251",G,"2,850,242",G,,,,,
02,Alaska,06:  20-99,"1,226","1,717","42,740",G,"2,160,600",G,,,,,
02,Alaska,07:  100-499,354,"1,175","42,457",G,"2,295,488",G,,,,,
02,Alaska,08:  <500,"16,320","17,830","142,448",G,"7,306,330",G,,,,,
