Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2016",,,,,,,,,,,,, release date: 12/18/2018
,,,,,,,,,,,,,
"SOURCE: 2016 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
The Census Bureau has reviewed this data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied (Approval ID: CBDRB-FY19-117).,,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
00,United States,01:  Total,"5,954,684","7,757,807","126,752,238",G,"6,435,142,055",G,,,,,
00,United States,02:  0-4,"3,665,182","3,671,901","5,923,452",G,"268,039,737",G,,,,,
00,United States,03:  5-9,"1,013,878","1,025,690","6,681,968",G,"248,985,263",G,,,,,
00,United States,04:  10-19,"626,900","657,781","8,432,521",G,"329,388,425",G,,,,,
00,United States,05:  <20,"5,305,960","5,355,372","21,037,941",G,"846,413,425",G,,,,,
00,United States,06:  20-99,"538,283","705,460","21,093,550",G,"899,265,224",G,,,,,
00,United States,07:  100-499,"90,742","367,446","17,783,726",G,"870,788,396",G,,,,,
00,United States,08:  <500,"5,934,985","6,428,278","59,915,217",G,"2,616,467,045",G,,,,,
00,United States,09:  500+,"19,699","1,329,529","66,837,021",G,"3,818,675,010",G,,,,,
01,Alabama,01:  Total,"73,976","99,584","1,673,249",G,"68,970,623",G,,,,,
01,Alabama,02:  0-4,"39,880","39,961","71,782",G,"2,600,979",G,,,,,
01,Alabama,03:  5-9,"13,721","13,871","90,193",G,"2,951,991",G,,,,,
01,Alabama,04:  10-19,"8,281","8,709","110,654",G,"3,921,442",G,,,,,
01,Alabama,05:  <20,"61,882","62,541","272,629",G,"9,474,412",G,,,,,
01,Alabama,06:  20-99,"7,539","10,200","278,558",G,"10,530,784",G,,,,,
01,Alabama,07:  100-499,"2,017","5,402","238,238",G,"10,013,379",G,,,,,
01,Alabama,08:  <500,"71,438","78,143","789,425",G,"30,018,575",G,,,,,
01,Alabama,09:  500+,"2,538","21,441","883,824",G,"38,952,048",G,,,,,
02,Alaska,01:  Total,"17,059","21,077","266,072",G,"15,239,195",G,,,,,
02,Alaska,02:  0-4,"10,175","10,211","14,954",G,"845,550",G,,,,,
02,Alaska,03:  5-9,"2,908","2,947","19,052",G,"831,772",G,,,,,
02,Alaska,04:  10-19,"1,753","1,872","23,195",G,"1,158,376",G,,,,,
02,Alaska,05:  <20,"14,836","15,030","57,201",G,"2,835,698",G,,,,,
02,Alaska,06:  20-99,"1,233","1,759","43,028",G,"2,113,534",G,,,,,
